estacion,provincia,region,oaci,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,latitud,longitud,altura,nro
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,9.0000,9.1000,70.4000,4.4000,198.1000,18.0000,23.3000,13.8000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,10.0000,12.0000,75.3000,5.0000,277.9000,19.8000,25.0000,15.6000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,11.0000,8.9000,72.1000,4.7000,194.8000,21.0000,26.3000,16.5000,-26.2667,-53.6667,815.0000,87163.0000
bernardo_de_irigoyen_aero,MISIONES,NEA,SATI,12.0000,11.0000,75.2000,5.1000,204.5000,22.5000,27.5000,18.3000,-26.2667,-53.6667,815.0000,87163.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,1.0000,7.0000,68.5000,3.3000,113.8000,22.3000,29.6000,15.0000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,2.0000,6.0000,73.8000,3.4000,106.0000,21.0000,28.3000,14.1000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,3.0000,6.5000,77.2000,3.3000,133.0000,18.8000,26.1000,12.3000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,4.0000,6.9000,78.5000,3.6000,106.7000,14.8000,22.0000,9.2000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,5.0000,4.6000,81.8000,4.1000,58.7000,11.4000,17.8000,6.2000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,6.0000,3.8000,81.2000,4.2000,37.8000,8.3000,14.6000,3.1000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,7.0000,3.9000,79.8000,4.2000,35.4000,7.3000,13.8000,2.0000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,8.0000,3.5000,75.0000,3.9000,41.2000,9.4000,16.6000,3.6000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,9.0000,5.1000,72.9000,3.9000,68.2000,11.8000,18.8000,5.6000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,10.0000,8.0000,73.7000,4.1000,118.9000,15.2000,21.7000,8.9000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,11.0000,7.5000,69.0000,3.6000,94.8000,18.4000,25.3000,11.4000,-36.1833,-61.0667,94.0000,87640.0000
bolivar_aero,BUENOS AIRES,Pampeana,SAZI,12.0000,7.2000,66.0000,3.3000,103.6000,21.2000,28.6000,13.7000,-36.1833,-61.0667,94.0000,87640.0000
